atributo,importancia
categorical__tracado_via_Interseção de Vias;Reta;Declive,0.0
categorical__tracado_via_Interseção de Vias;Reta;Declive;Em Obras,0.0
categorical__tracado_via_Interseção de Vias;Reta;Em Obras,0.0
categorical__tracado_via_Interseção de Vias;Reta;Ponte,0.0
categorical__tracado_via_Em Obras;Rotatória;Reta,0.0
categorical__tracado_via_Interseção de Vias;Reta;Retorno Regulamentado;Rotatória,0.0
categorical__tracado_via_Interseção de Vias;Reta;Rotatória,0.0
categorical__tracado_via_Interseção de Vias;Reta;Rotatória;Declive,0.0
categorical__tracado_via_Interseção de Vias;Reta;Viaduto,0.0
categorical__tracado_via_Interseção de Vias;Reta;Viaduto;Declive,0.0
categorical__tracado_via_Interseção de Vias;Retorno Regulamentado,0.0
categorical__tracado_via_Interseção de Vias;Retorno Regulamentado;Aclive;Reta,0.0
categorical__tracado_via_Interseção de Vias;Retorno Regulamentado;Declive,0.0
categorical__tracado_via_Interseção de Vias;Retorno Regulamentado;Declive;Curva,0.0
categorical__tracado_via_Interseção de Vias;Retorno Regulamentado;Desvio Temporário;Em Obras,0.0
categorical__tracado_via_Interseção de Vias;Retorno Regulamentado;Reta,0.0
categorical__tracado_via_Em Obras;Rotatória;Retorno Regulamentado,0.0
categorical__tracado_via_Em Obras;Reta;Ponte,0.0
categorical__tracado_via_Em Obras;Rotatória;Curva;Declive;Desvio Temporário,0.0
categorical__tracado_via_Declive;Viaduto;Curva,0.0
categorical__tracado_via_Declive;Reta;Viaduto,0.0
categorical__tracado_via_Declive;Retorno Regulamentado,0.0
categorical__tracado_via_Declive;Retorno Regulamentado;Curva,0.0
categorical__tracado_via_Declive;Retorno Regulamentado;Reta,0.0
categorical__tracado_via_Declive;Retorno Regulamentado;Reta;Interseção de Vias,0.0
categorical__tracado_via_Declive;Retorno Regulamentado;Rotatória,0.0
categorical__tracado_via_Declive;Rotatória,0.0
categorical__tracado_via_Declive;Rotatória;Curva,0.0
categorical__tracado_via_Declive;Rotatória;Reta,0.0
categorical__tracado_via_Declive;Viaduto,0.0
categorical__tracado_via_Declive;Viaduto;Curva;Interseção de Vias,0.0
categorical__tracado_via_Declive;Reta;Retorno Regulamentado,0.0
categorical__tracado_via_Declive;Viaduto;Em Obras;Curva,0.0
categorical__tracado_via_Declive;Viaduto;Reta,0.0
categorical__tracado_via_Declive;Viaduto;Retorno Regulamentado,0.0
categorical__tracado_via_Desvio Temporário,0.0
categorical__tracado_via_Desvio Temporário;Aclive,0.0
categorical__tracado_via_Desvio Temporário;Aclive;Curva;Em Obras,0.0
categorical__tracado_via_Desvio Temporário;Aclive;Em Obras;Reta;Interseção de Vias,0.0
categorical__tracado_via_Desvio Temporário;Curva,0.0
categorical__tracado_via_Desvio Temporário;Curva;Em Obras,0.0
categorical__tracado_via_Desvio Temporário;Declive;Curva,0.0
categorical__tracado_via_Declive;Reta;Retorno Regulamentado;Interseção de Vias,0.0
categorical__tracado_via_Declive;Reta;Ponte;Em Obras,0.0
categorical__tracado_via_Em Obras;Rotatória,0.0
categorical__tracado_via_Declive;Interseção de Vias;Curva,0.0
categorical__tracado_via_Declive;Curva;Retorno Regulamentado,0.0
categorical__tracado_via_Declive;Curva;Rotatória,0.0
categorical__tracado_via_Declive;Curva;Viaduto,0.0
categorical__tracado_via_Declive;Desvio Temporário;Reta,0.0
categorical__tracado_via_Declive;Em Obras,0.0
categorical__tracado_via_Declive;Em Obras;Curva,0.0
categorical__tracado_via_Declive;Em Obras;Reta,0.0
categorical__tracado_via_Declive;Em Obras;Viaduto,0.0
categorical__tracado_via_Declive;Em Obras;Viaduto;Reta,0.0
categorical__tracado_via_Declive;Interseção de Vias,0.0
categorical__tracado_via_Declive;Interseção de Vias;Reta,0.0
categorical__tracado_via_Declive;Reta;Ponte,0.0
categorical__tracado_via_Declive;Interseção de Vias;Retorno Regulamentado;Rotatória,0.0
categorical__tracado_via_Declive;Interseção de Vias;Viaduto;Curva,0.0
categorical__tracado_via_Declive;Ponte,0.0
categorical__tracado_via_Declive;Ponte;Curva,0.0
categorical__tracado_via_Declive;Ponte;Em Obras,0.0
categorical__tracado_via_Declive;Ponte;Reta,0.0
categorical__tracado_via_Declive;Reta,0.0
categorical__tracado_via_Declive;Reta;Em Obras,0.0
categorical__tracado_via_Declive;Reta;Em Obras;Ponte,0.0
categorical__tracado_via_Declive;Reta;Interseção de Vias,0.0
categorical__tracado_via_Desvio Temporário;Declive;Em Obras,0.0
categorical__tracado_via_Desvio Temporário;Declive;Reta,0.0
categorical__tracado_via_Desvio Temporário;Declive;Reta;Em Obras,0.0
categorical__tracado_via_Em Obras;Reta;Aclive,0.0
categorical__tracado_via_Em Obras;Desvio Temporário;Curva,0.0
categorical__tracado_via_Em Obras;Desvio Temporário;Reta,0.0
categorical__tracado_via_Em Obras;Desvio Temporário;Viaduto;Reta,0.0
categorical__tracado_via_Em Obras;Interseção de Vias,0.0
categorical__tracado_via_Em Obras;Interseção de Vias;Declive,0.0
categorical__tracado_via_Em Obras;Interseção de Vias;Desvio Temporário,0.0
categorical__tracado_via_Em Obras;Interseção de Vias;Reta,0.0
categorical__tracado_via_Em Obras;Interseção de Vias;Rotatória,0.0
categorical__tracado_via_Em Obras;Ponte;Reta,0.0
categorical__tracado_via_Em Obras;Reta,0.0
categorical__tracado_via_Em Obras;Reta;Declive,0.0
categorical__tracado_via_Desvio Temporário;Em Obras,0.0
categorical__tracado_via_Em Obras;Reta;Declive;Desvio Temporário,0.0
categorical__tracado_via_Em Obras;Reta;Desvio Temporário,0.0
categorical__tracado_via_Em Obras;Reta;Interseção de Vias,0.0
categorical__tracado_via_Ponte;Declive,0.0
categorical__tracado_via_Em Obras;Reta;Retorno Regulamentado,0.0
categorical__tracado_via_Em Obras;Reta;Rotatória,0.0
categorical__tracado_via_Em Obras;Reta;Viaduto,0.0
categorical__tracado_via_Em Obras;Retorno Regulamentado,0.0
categorical__tracado_via_Em Obras;Retorno Regulamentado;Declive;Reta,0.0
categorical__tracado_via_Em Obras;Retorno Regulamentado;Reta,0.0
categorical__tracado_via_Em Obras;Desvio Temporário,0.0
categorical__tracado_via_Em Obras;Declive;Reta,0.0
categorical__tracado_via_Em Obras;Declive;Ponte,0.0
categorical__tracado_via_Em Obras;Declive;Curva,0.0
categorical__tracado_via_Desvio Temporário;Em Obras;Curva,0.0
categorical__tracado_via_Desvio Temporário;Em Obras;Declive;Curva,0.0
categorical__tracado_via_Desvio Temporário;Em Obras;Reta,0.0
categorical__tracado_via_Desvio Temporário;Em Obras;Viaduto;Declive,0.0
categorical__tracado_via_Desvio Temporário;Interseção de Vias;Curva,0.0
categorical__tracado_via_Desvio Temporário;Reta,0.0
categorical__tracado_via_Desvio Temporário;Reta;Em Obras,0.0
categorical__tracado_via_Desvio Temporário;Reta;Interseção de Vias;Em Obras,0.0
categorical__tracado_via_Desvio Temporário;Retorno Regulamentado;Reta;Em Obras;Interseção de Vias,0.0
categorical__tracado_via_Desvio Temporário;Viaduto;Reta;Em Obras;Interseção de Vias,0.0
categorical__tracado_via_Em Obras,0.0
categorical__tracado_via_Em Obras;Aclive,0.0
categorical__tracado_via_Em Obras;Aclive;Curva;Retorno Regulamentado,0.0
categorical__tracado_via_Em Obras;Aclive;Desvio Temporário;Reta,0.0
categorical__tracado_via_Em Obras;Aclive;Reta,0.0
categorical__tracado_via_Em Obras;Curva,0.0
categorical__tracado_via_Em Obras;Curva;Aclive,0.0
categorical__tracado_via_Em Obras;Curva;Declive,0.0
categorical__tracado_via_Em Obras;Curva;Interseção de Vias,0.0
categorical__tracado_via_Em Obras;Curva;Rotatória;Interseção de Vias,0.0
categorical__tracado_via_Em Obras;Declive,0.0
categorical__tracado_via_Ponte;Curva;Declive,0.0
categorical__tracado_via_Ponte;Reta;Declive,0.0
categorical__tracado_via_Ponte;Declive;Reta,0.0
categorical__tracado_via_Rotatória;Interseção de Vias;Retorno Regulamentado;Reta,0.0
categorical__tracado_via_Rotatória;Declive,0.0
categorical__tracado_via_Rotatória;Declive;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Desvio Temporário;Reta;Em Obras,0.0
categorical__tracado_via_Rotatória;Em Obras,0.0
categorical__tracado_via_Rotatória;Em Obras;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Em Obras;Reta,0.0
categorical__tracado_via_Rotatória;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Interseção de Vias;Curva,0.0
categorical__tracado_via_Rotatória;Interseção de Vias;Declive,0.0
categorical__tracado_via_Rotatória;Interseção de Vias;Reta,0.0
categorical__tracado_via_Rotatória;Interseção de Vias;Viaduto,0.0
categorical__tracado_via_Rotatória;Retorno Regulamentado;Reta,0.0
categorical__tracado_via_Rotatória;Interseção de Vias;Viaduto;Reta,0.0
categorical__tracado_via_Rotatória;Reta,0.0
categorical__tracado_via_Rotatória;Reta;Declive,0.0
categorical__tracado_via_Rotatória;Reta;Interseção de Vias,0.0
categorical__tracado_via_Rotatória;Reta;Interseção de Vias;Aclive,0.0
categorical__tracado_via_Rotatória;Reta;Interseção de Vias;Declive,0.0
